Sample	Tax	Profile	Group
C0049	g__Blautia	0.0181808516294	HC
C0035	g__Blautia	0.0125990112168	HC
C0051	g__Blautia	0.00659188772527	HC
C0036	g__Blautia	0.0525224602626	HC
C0054	g__Blautia	0.0559778852799	HC
C0034	g__Blautia	0.0367869863378	HC
C0062	g__Blautia	0.0694274626548	HC
C0015	g__Blautia	5.31603848812e-05	HC
C0014	g__Blautia	0.010313114667	HC
C0017	g__Blautia	0.0158417946946	HC
C0016	g__Blautia	0.0592206687576	HC
C0011	g__Blautia	0.294721173781	HC
C0010	g__Blautia	0.0747435011429	HC
C0013	g__Blautia	0.060390197225	HC
C0012	g__Blautia	0.0140343416086	HC
C0042	g__Blautia	0.159427994259	HC
C0050	g__Blautia	0.0173834458561	HC
C0039	g__Blautia	0.108287704003	HC
C0038	g__Blautia	0.0224868428047	HC
C0019	g__Blautia	0.101430014353	HC
C0018	g__Blautia	0.0417309021317	HC
C0057	g__Blautia	0.0205199085641	HC
C0056	g__Blautia	0.0740524161395	HC
C0041	g__Blautia	0.0392855244272	HC
C0046	g__Blautia	0.0180745308596	HC
C0047	g__Blautia	0.0130242942959	HC
C0058	g__Blautia	0.184200733613	HC
C0008	g__Blautia	0.0159481154644	HC
C0043	g__Blautia	0.0318430705438	HC
C0045	g__Blautia	0.0493328371697	HC
C0023	g__Blautia	0.0278028812929	HC
C0060	g__Blautia	0.398915528148	HC
C0061	g__Blautia	0.0984530328	HC
C0053	g__Blautia	0.0130242942959	HC
C0063	g__Blautia	0.00202009462549	HC
C0064	g__Blautia	0.019669342406	HC
C0065	g__Blautia	0.13189091489	HC
C0066	g__Blautia	0.0332252405507	HC
C0067	g__Blautia	0.0965924193291	HC
C0040	g__Blautia	0.0449736856095	HC
C0044	g__Blautia	0.0369996278773	HC
C0006	g__Blautia	0.070703311892	HC
C0007	g__Blautia	0.0742118972941	HC
C0004	g__Blautia	0.0519376960289	HC
C0005	g__Blautia	0.0699059061188	HC
C0002	g__Blautia	0.0319493913136	HC
C0003	g__Blautia	0.00999415235766	HC
C0001	g__Blautia	0.0590080272181	HC
C0024	g__Blautia	0.0242411355058	HC
C0025	g__Blautia	0.00260485885918	HC
C0026	g__Blautia	0.148955398437	HC
C0027	g__Blautia	0.0189250970177	HC
C0020	g__Blautia	0.0519376960289	HC
C0021	g__Blautia	0.0241879751209	HC
C0022	g__Blautia	0.0311519855404	HC
C0009	g__Blautia	0.0366275051831	HC
C0052	g__Blautia	0.0522034979533	HC
C0033	g__Blautia	0.016107596619	HC
C0048	g__Blautia	0.0140875019935	HC
C0032	g__Blautia	0.0070703311892	HC
C0037	g__Blautia	0.0959544947105	HC
C0059	g__Blautia	0.428579022912	HC
C0031	g__Blautia	0.0251448620488	HC
C0030	g__Blautia	0.0273775982138	HC
C0028	g__Blautia	0.0317899101589	HC
C0055	g__Blautia	0.0115889639041	HC
C0029	g__Blautia	0.0305672213067	HC
Z0032	g__Blautia	0.000637924618574	GH
Z0021	g__Blautia	5.31603848812e-05	GH
Z0020	g__Blautia	0.00186061347084	GH
Z0023	g__Blautia	0.00590080272181	GH
Z0022	g__Blautia	0.00441231194514	GH
Z0025	g__Blautia	0.015203870076	GH
Z0009	g__Blautia	0.00435915156026	GH
Z0008	g__Blautia	0.00207325501037	GH
Z0007	g__Blautia	0.00276434001382	GH
Z0006	g__Blautia	0.0129179735261	GH
Z0005	g__Blautia	0.00287066078358	GH
Z0004	g__Blautia	0.00823985965658	GH
Z0002	g__Blautia	0.00127584923715	GH
Z0027	g__Blautia	0.00116952846739	GH
Z0026	g__Blautia	0.000850566158099	GH
Z0029	g__Blautia	0.00457179309978	GH
Z0018	g__Blautia	0.00180745308596	GH
Z0019	g__Blautia	0.00568816118229	GH
Z0030	g__Blautia	0.00308330232311	GH
Z0031	g__Blautia	0.00303014193823	GH
