	N47	N54	N62	N67	N68	N74	N80	N82	N85	N91	Z0008	Z0012	Z0014	Z0015	Z0016	Z0023	Z0025	Z0026	Z0029
Cancers: Specific types	0.000214345	0.000315949	0.000341436	0.000229934	0.0003165664	0.00024851	0.000242078	0.0001948885	0.000253697	0.000198255	0.0001942788	0.000191478	0.00029948	0.000257216	0.000240115	0.000213678	0.000272239	0.000389928	0.000406534
Endocrine system	0.003130779	0.00320976	0.002649723	0.002593158	0.002992982	0.0026566775	0.002839526	0.003135326	0.002857315	0.002415219	0.002692376	0.002776413	0.002518634	0.002894018	0.002236003	0.002525181	0.003038157	0.002780578	0.003034442
Transcription	0.001123045	0.001211436	0.0007933522	0.001065879	0.001012642	0.001201098	0.000880575	0.001261786	0.00105311	0.000988553	0.000935137	0.001248621	0.000949066	0.000871922	0.00068312	0.001067352	0.000913121	0.000812988	0.001059249
Energy metabolism	0.0330680505	0.0288346293	0.0299458223	0.0296621124	0.028134586	0.030642497	0.0275136077	0.0347847664	0.0269007666	0.0318836564	0.0281024033	0.0296412445	0.031960549	0.029615338	0.0259195039	0.0319012379	0.0318372248	0.0300026825	0.0223259288
Cellular community	0.0	0.0	0.0	0.0	2.74e-08	0.0	0.0	0.0	0.0	0.0	1e-06	1.8e-06	0.0	8.53e-07	0.0	4.16e-07	8.74e-06	0.0	3.33e-06
Nervous system	0.002912975	0.002146003	0.002092727	0.001930804	0.001746761	0.001814729	0.001974878	0.001994621	0.001930093	0.001837507	0.001550004	0.00149267	0.002145543	0.002117249	0.00216683	0.001796249	0.001728095	0.001886103	0.001284638
Circulatory system	0.0	1.52e-07	1.971e-05	2.41e-07	1.44e-07	3.58e-08	0.0	1.23e-07	0.0	0.0	8.54e-07	1.07e-06	3.49e-07	6.77e-07	0.0	0.0	6.04e-07	0.0	9.67e-08
Signaling molecules and interaction	0.000129684	0.00013834	3.26e-05	3.68e-05	4.46274e-05	4.99e-05	6.84e-05	6.51e-05	7.82e-05	3.75e-05	1.094e-05	1.138e-05	6.63e-06	6.2753e-05	8.6e-05	3.5816e-05	4.314e-05	3.56e-05	6.06e-06
Nucleotide metabolism	0.024888328	0.0247661974	0.0229002688	0.0280271748	0.0242361092	0.027858996	0.0222004824	0.0279236322	0.0223191195	0.0270213854	0.0279558894	0.030962895	0.0282583849	0.0254769438	0.020882279	0.02785474	0.0296637976	0.023875776	0.0241392877
Metabolism of terpenoids and polyketides	0.0060225736	0.0050976515	0.006170372	0.0066037473	0.0053136852	0.0064200276	0.0046726369	0.0071628926	0.0051180451	0.0064589337	0.0077230548	0.0074579567	0.00685005	0.0060694242	0.0056967036	0.006583218	0.0080221418	0.0060564382	0.0063031194
Amino acid metabolism	0.0477055964	0.041536417	0.0450116218	0.0456846186	0.0417277936	0.0449565486	0.0406479529	0.0503229293	0.0404467632	0.0444203427	0.0451856078	0.0417355874	0.0490706754	0.0460917172	0.0389579483	0.0461021672	0.0492637301	0.0464057666	0.0343246593
Infectious diseases: Bacterial	0.0035164812	0.0032771404	0.0041447752	0.0038174086	0.003219828	0.0037807645	0.0030295395	0.003770253	0.0030368641	0.0037612377	0.003367735	0.0038512712	0.0040533089	0.0034246083	0.003244533	0.0038392627	0.0035064524	0.004379356	0.0027646808
Transport and catabolism	0.004902213	0.0036019735	0.003484236	0.00310646	0.003067819	0.003181298	0.003858067	0.002935201	0.00366152	0.003767139	0.002698377	0.002524213	0.0027244433	0.003303251	0.0031414136	0.004262508	0.003420875	0.003907601	0.002508532
Translation	0.01575882	0.0187253406	0.016085168	0.020751136	0.019627182	0.0212829568	0.0148358269	0.02200016	0.015517437	0.020597542	0.0195035	0.026790025	0.017901617	0.017863154	0.01393996	0.018463364	0.0206309832	0.013332287	0.019775231
Cell motility	0.000674344	0.001762062	0.0029255601	0.002367241	0.000956995	0.001485014	0.0014641685	0.0013152486	0.0017572433	0.0013624785	0.001038431	0.0014494297	0.002312247	0.001213622	0.0015583812	0.00199603	0.000999151	0.003967932	0.0003059131
Replication and repair	0.0184726072	0.0197680434	0.019001841	0.0232969266	0.0203790452	0.020997211	0.019728669	0.0211723606	0.0185917756	0.020636024	0.023932592	0.023285058	0.0216738865	0.02100429	0.018627509	0.021981494	0.024422398	0.019014885	0.018877626
Neurodegenerative diseases	0.000416683	0.000492375	0.000778709	0.000663417	0.000544123	0.0006360794	0.000415662	0.00060961	0.000429746	0.000619247	0.000461321	0.000672748	0.000675521	0.000664581	0.000543919	0.000722694	0.000686126	0.000851678	0.0005258461
