Taxon	C0045	C0062	Z0009	C0002	C0039	C0023	C0010	C0064	C0055	C0001	C0029	C0013	C0059	C0051	C0033	C0054	C0052	C0040	C0060	C0016	C0026	C0011	C0020	C0037	C0006	C0058	C0065	C0005	C0036	C0044	Z0017	C0041	C0007	C0050	C0004	C0043	C0066	C0048	C0027	C0031	C0025	C0047	C0061	C0014	C0056	C0019	C0018	C0053	C0042	Z0005	C0012	C0009	C0057	C0067	C0038	C0049	C0024	C0030	Z0022	C0034	Z0025	Z0016	Z0014	C0003	Z0027	C0032	C0028	C0046	C0017	Z0013	C0035	Z0029	Z0004	C0021	Z0006	Z0023	Z0020	Z0010	Z0015	C0022	Z0031	Z0011	Z0019	C0008	Z0008	Z0030	Z0012	C0015	Z0007	Z0018	Z0032	Z0002	Z0021	C0063	Z0026
g__Actinomyces	0.000106320769762	0.000531603848812	0.000106320769762	0.000372122694168	0.00478443463931	0.00101004731274	0.000425283079049	0.000159481154644	0.000637924618574	0.00180745308596	0.000106320769762	0.000212641539525	0.000265801924406	5.31603848812e-05	0.0	5.31603848812e-05	0.000106320769762	0.0	0.00186061347084	0.000106320769762	0.00372122694168	0.0017011323162	0.000797405773218	0.000212641539525	0.000159481154644	0.000265801924406	0.00106320769762	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.0	5.31603848812e-05	0.000106320769762	0.000691085003455	0.000531603848812	0.000425283079049	0.0	5.31603848812e-05	5.31603848812e-05	0.0	5.31603848812e-05	0.00233905693477	0.000106320769762	0.000265801924406	0.000106320769762	0.0	0.000265801924406	0.000212641539525	0.0	5.31603848812e-05	0.000212641539525	0.000159481154644	0.000531603848812	5.31603848812e-05	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.000744245388337	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.0	0.0	0.000531603848812	0.000106320769762	5.31603848812e-05	5.31603848812e-05	0.000318962309287	0.0	0.000106320769762	0.000212641539525	0.0	0.000106320769762	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.000265801924406	0.0	0.0	5.31603848812e-05	5.31603848812e-05	0.0	5.31603848812e-05	5.31603848812e-05	0.000956886927861	5.31603848812e-05	0.0	0.0	5.31603848812e-05	0.000265801924406	0.000531603848812	0.000106320769762
g__Rothia	0.0	0.000372122694168	0.0	0.000478443463931	0.000584764233693	5.31603848812e-05	0.0019669342406	0.0	0.000212641539525	0.000106320769762	0.0	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.000159481154644	5.31603848812e-05	0.0	0.000425283079049	5.31603848812e-05	0.000531603848812	5.31603848812e-05	5.31603848812e-05	0.000159481154644	0.0	0.0	0.0	0.000850566158099	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.000106320769762	0.000106320769762	0.000106320769762	5.31603848812e-05	5.31603848812e-05	0.0	0.0	5.31603848812e-05	0.000318962309287	0.00186061347084	0.0	0.000159481154644	0.0	0.000106320769762	5.31603848812e-05	0.0	0.000106320769762	0.000212641539525	0.000159481154644	0.000159481154644	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.000265801924406	0.000106320769762	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.000265801924406	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000478443463931	0.0
g__Collinsella	0.0118547658285	0.0073361331136	0.000318962309287	0.00579448195205	0.118866620594	0.0	0.0155759927702	0.0279623624475	0.00781457657753	0.0197756631758	0.00643240657062	0.00924990696933	0.000744245388337	5.31603848812e-05	0.00202009462549	0.0	0.000159481154644	0.000478443463931	0.0	0.00217957578013	5.31603848812e-05	0.0	0.00893094466004	0.0087714635054	0.000318962309287	0.00600712349157	0.00552868002764	0.0247195789698	0.0168518420073	0.0	0.00494391579395	5.31603848812e-05	0.0	0.00164797193132	0.064430386476	0.00329594386263	0.005369198873	0.00377438732656	0.00143533039179	0.0028175003987	0.0	0.0	0.0128648131412	0.0128116527564	5.31603848812e-05	0.00760193503801	0.000318962309287	0.0160012758492	0.00324278347775	0.0	0.0064855669555	0.00834618042635	0.0	0.00935622773909	0.028653447451	0.00786773696242	0.000850566158099	0.0028175003987	0.0	0.0120142469831	0.00143533039179	0.0079208973473	0.00143533039179	0.0	0.0	0.0233374089628	0.000372122694168	0.0102067938972	5.31603848812e-05	0.00520971771836	0.0073361331136	0.00101004731274	0.0	0.00249853808942	0.00090372654298	0.000478443463931	0.0	0.000797405773218	5.31603848812e-05	0.0500770825581	0.000478443463931	0.000691085003455	0.0	0.00292382116847	0.000478443463931	0.000212641539525	0.000478443463931	0.0	0.000637924618574	0.000159481154644	0.000531603848812	0.000212641539525	0.0	0.0	0.000212641539525
g__Eggerthella	5.31603848812e-05	5.31603848812e-05	0.0	5.31603848812e-05	0.000584764233693	0.000212641539525	0.000106320769762	0.0	0.000318962309287	0.0	0.00154165116155	0.000106320769762	0.00382754771145	0.0	0.0	0.000318962309287	0.0	0.000318962309287	0.0	0.000265801924406	0.00781457657753	0.00212641539525	0.00132900962203	0.000159481154644	0.000212641539525	0.0	0.00186061347084	0.000531603848812	0.00159481154644	0.000212641539525	0.0	5.31603848812e-05	0.000106320769762	0.0	0.0	0.000212641539525	0.000159481154644	0.0	0.000637924618574	0.0	0.000265801924406	0.0	0.000106320769762	0.0	0.0	0.000106320769762	0.000265801924406	0.000584764233693	5.31603848812e-05	0.0	0.0	0.000212641539525	0.0036680665568	0.000212641539525	0.000265801924406	0.0	0.0	0.000159481154644	0.000159481154644	0.000318962309287	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	5.31603848812e-05	0.0	0.0	5.31603848812e-05	0.000159481154644	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.000106320769762	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.000106320769762	0.000159481154644	0.0	0.0	0.0	0.000265801924406	5.31603848812e-05	0.0	0.0	0.0	5.31603848812e-05	0.0	0.000212641539525
g__Gordonibacter	0.000478443463931	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	5.31603848812e-05	5.31603848812e-05	0.0	0.0	0.0	5.31603848812e-05	0.0	0.000106320769762	0.0	0.000106320769762	0.0	0.0	5.31603848812e-05	0.000106320769762	0.0	0.000318962309287	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.000478443463931	0.0	5.31603848812e-05	0.0	0.000106320769762	0.0	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.0	0.000318962309287	0.0	0.0	0.000159481154644	0.000637924618574	0.0	0.0	0.0	0.0	0.000637924618574	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.000425283079049	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Olsenella	0.0	0.00186061347084	0.0	0.0	0.000265801924406	0.0	0.0	0.0	0.000106320769762	5.31603848812e-05	0.000106320769762	0.0	0.000159481154644	0.0	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.0	5.31603848812e-05	0.000106320769762	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.000425283079049	0.0	0.0	0.0	0.000159481154644	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000478443463931	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0112700015948	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Slackia	0.0	0.0	0.0	0.0	0.0123332092924	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.000744245388337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000425283079049	0.00303014193823	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00228589654989	0.0	0.000850566158099	0.0	0.000372122694168	0.0224336824199	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000159481154644	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Barnesiella	0.005369198873	0.00659188772527	0.000584764233693	0.0	0.00116952846739	0.0	0.0	0.0	0.020573068949	0.0	0.0	0.00776141619265	0.00175429270108	0.0	0.0	0.0	0.0	0.000318962309287	0.0	0.00260485885918	0.000106320769762	5.31603848812e-05	5.31603848812e-05	0.00584764233693	0.0	0.0	0.0	0.000318962309287	0.0	0.0	0.00590080272181	5.31603848812e-05	0.0	0.0	0.00297698155335	0.0	0.0660251980224	0.000531603848812	0.0	0.0	0.0	0.0118547658285	0.0	0.0	0.0	5.31603848812e-05	0.00627292541598	0.0	0.000744245388337	0.00829302004147	0.00101004731274	0.00217957578013	0.0	0.0	0.0	0.0115889639041	0.0	0.0	0.0140343416086	0.0	0.0	0.0	0.0	0.0	0.00202009462549	0.00797405773218	0.0	0.0	0.0	0.0	0.0	0.000425283079049	0.00356174578704	0.0	0.0	0.00489075540907	0.0	0.0	0.00637924618574	0.0	0.00722981234384	0.00276434001382	0.0	0.00239221731965	0.00138217000691	0.00324278347775	0.0011163680825	0.0	0.00292382116847	0.00345542501728	5.31603848812e-05	0.000318962309287	5.31603848812e-05	0.0	0.0
g__Coprobacter	0.00414651002073	0.0	0.0	0.0	0.000159481154644	0.0	0.0	0.0	0.000106320769762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000318962309287	0.0	0.0	0.00558184041252	5.31603848812e-05	0.0	0.00116952846739	0.0	0.0	0.0	0.0	0.000318962309287	0.0	0.0	0.0	0.000212641539525	0.0	0.0	0.0119079262134	0.0	0.0	0.0	0.0213173143374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00223273616501	0.0	0.0	0.00754877465313	0.0	0.0	0.000425283079049	0.0	0.0	0.0	0.0	0.0289192493754	0.0	0.000106320769762	0.0	0.0183934931689	0.0	0.0025516984743	0.0	0.0	0.000744245388337	0.000106320769762	0.0	0.0	0.0	0.0	0.00382754771145	0.0	0.000744245388337	0.0	0.0	0.00164797193132	0.0	0.000478443463931	0.0	0.000265801924406	0.0	5.31603848812e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
g__Odoribacter	0.0019669342406	0.0	0.00175429270108	0.000106320769762	0.000265801924406	0.000372122694168	0.0	0.0	0.00116952846739	0.0	0.00345542501728	0.000531603848812	0.000372122694168	0.0	0.0	0.0	0.0	0.0017011323162	0.0	0.00691085003455	0.0	0.0	0.000850566158099	0.000637924618574	0.0	0.00148849077667	0.000584764233693	0.00180745308596	0.0	0.0	0.0017011323162	0.00345542501728	0.000584764233693	0.0017011323162	0.0	0.0	0.00159481154644	0.00132900962203	0.0	0.000797405773218	0.0036680665568	0.00148849077667	0.00132900962203	0.000372122694168	0.0	0.000159481154644	0.00287066078358	0.00106320769762	0.000159481154644	0.00101004731274	0.000106320769762	0.0017011323162	0.00749561426825	0.000637924618574	0.0	0.00659188772527	0.000691085003455	5.31603848812e-05	0.00712349157408	0.000106320769762	0.00143533039179	0.0	0.011163680825	0.0	0.0	0.00308330232311	0.0017011323162	0.0	0.0019669342406	0.00154165116155	0.000584764233693	0.000318962309287	0.0028175003987	0.000478443463931	0.0	0.0011163680825	0.00260485885918	0.00180745308596	0.00430599117538	0.0	0.00345542501728	0.0011163680825	0.00116952846739	5.31603848812e-05	0.00106320769762	0.000744245388337	0.00202009462549	0.0	0.000956886927861	0.00409334963585	0.000425283079049	0.000212641539525	0.0	0.0	0.0
