	C0045	C0062	Z0009	C0002	C0039	C0023	C0010	C0064	C0055	C0001	C0029	C0013	C0059	C0051	C0033	C0054	C0052	C0040	C0060	C0016	C0026	C0011	C0020	C0037	C0006	C0058	C0065	C0005	C0036	C0044	Z0017	C0041	C0007	C0050	C0004	C0043	C0066	C0048	C0027	C0031	C0025	C0047	C0061	C0014	C0056	C0019	C0018	C0053	C0042	Z0005	C0012	C0009	C0057	C0067	C0038	C0049	C0024	C0030	Z0022	C0034	Z0025	Z0016	Z0014	C0003	Z0027	C0032	C0028	C0046	C0017	Z0013	C0035	Z0029	Z0004	C0021	Z0006	Z0023	Z0020	Z0010	Z0015	C0022	Z0031	Z0011	Z0019	C0008	Z0008	Z0030	Z0012	C0015	Z0007	Z0018	Z0032	Z0002	Z0021	C0063	Z0026
C0045	0.0	0.354363066823	0.254516452263	0.227259628941	0.456691775008	0.2399086073	0.257475163468	0.484976110255	0.727423798841	0.237130662652	0.252917187816	0.252475993833	0.413017945883	0.349982926397	0.198633676004	0.138180741056	0.292305549944	0.151511627771	0.522673953006	0.226753602148	0.487443467652	0.498280039339	0.196954193823	0.230523263083	0.276995098081	0.316169222264	0.366526506831	0.193271176833	0.147245836479	0.330093871671	0.299732937315	0.186665241614	0.195740085588	0.286340328195	0.410854968637	0.242381182287	0.294708420073	0.195655452129	0.227807512094	0.445286016692	0.401215529828	0.171548910744	0.185138930945	0.343342224762	0.204619433842	0.313705784381	0.145387800755	0.301165928446	0.237606756685	0.307956631226	0.364777715679	0.271539077541	0.208421941417	0.272276865664	0.129909572591	0.227910317899	0.267275267131	0.21931931051	0.283773175801	0.192193449735	0.385940094509	0.277321921748	0.237567095317	0.181810303546	0.200550782757	0.407681147201	0.221150466748	0.200623638297	0.292543621285	0.203056686907	0.379978931571	0.314065159215	0.190499922917	0.263767750253	0.162084591462	0.303983775756	0.2029989476	0.220241842539	0.227962722588	0.508350701109	0.207389208973	0.220526492015	0.184879759715	0.172192448567	0.314620172084	0.275358668271	0.389036067726	0.543599686354	0.310372945085	0.517997015576	0.401938019596	0.272140699779	0.689404341077	0.525459996279	0.286217826561
C0062	0.354363066823	0.0	0.44789103252	0.267187361118	0.381113951706	0.425836071467	0.399633013131	0.370198165425	0.733631820212	0.419764662824	0.525172762214	0.233566486099	0.267966197969	0.492848885695	0.450275650998	0.405818252618	0.527018685344	0.341629179735	0.362696821009	0.49005373877	0.289262161501	0.325119764499	0.24867688108	0.301687288496	0.295724453777	0.321385254904	0.241710697464	0.387459935854	0.397460417841	0.583323489979	0.304449062999	0.473243109351	0.328909951624	0.533121928644	0.307598726257	0.470970954761	0.20642747754	0.421551524108	0.488608751263	0.691245882197	0.651368847679	0.30041908511	0.420696579661	0.382642895115	0.383207267025	0.241995774813	0.400211752166	0.528630827176	0.311061495402	0.382689014938	0.372924298696	0.510332360029	0.343039846366	0.20485536282	0.326699245123	0.33304961565	0.274392080166	0.490628496093	0.418158504067	0.438444751465	0.606687553394	0.341960746372	0.357094478762	0.415926797618	0.45820850056	0.647187441922	0.30227574398	0.445654605816	0.23433891287	0.357484891045	0.522782487516	0.484690472596	0.36214166392	0.389620354048	0.372893436819	0.347728961056	0.485868682285	0.442492581468	0.379048919667	0.453901252286	0.442400149912	0.354627022581	0.377944027962	0.400090380097	0.459377613712	0.523592811669	0.60855433204	0.402500191909	0.575964901387	0.738828456222	0.560360798729	0.469076399618	0.635365858806	0.425114210834	0.528700731336
Z0009	0.254516452263	0.44789103252	0.0	0.320761780591	0.529443102847	0.311806133972	0.198769853484	0.544939732292	0.780391194336	0.305026541833	0.221730706423	0.352094091874	0.472188328786	0.40277952433	0.230523240294	0.206442901446	0.328379555302	0.254239311373	0.577006654861	0.314119730936	0.585683537787	0.554483759184	0.300757792238	0.28096955416	0.366762917698	0.373487080658	0.411206840962	0.207049632969	0.239223193548	0.387876576279	0.336965955154	0.268335872581	0.265187523934	0.226956846063	0.429089794746	0.292345891307	0.378838017788	0.254670095079	0.29325502141	0.347568167249	0.435804824429	0.256768755705	0.250465770092	0.304691665005	0.263774026326	0.439584846156	0.228775341748	0.245996733256	0.331568943388	0.43584567794	0.347324520788	0.310182914172	0.301216348814	0.349147435741	0.244816410332	0.291419692979	0.319072967123	0.299594713841	0.346687037349	0.238805625604	0.318189417872	0.350137419731	0.301695057292	0.200296885408	0.229980608598	0.351061720596	0.350719033995	0.255885818413	0.413987474933	0.294719422493	0.340573052389	0.232136483622	0.282655461509	0.193412427154	0.245012115036	0.408369033208	0.269579617034	0.164282303835	0.239724348369	0.583531413379	0.207355648296	0.322254419915	0.214584299669	0.256740916049	0.258350596484	0.308081640067	0.292452053331	0.547884390834	0.368143345059	0.430446450858	0.270717824214	0.28876859978	0.766882483712	0.565845681915	0.324177617558
C0002	0.227259628941	0.267187361118	0.320761780591	0.0	0.366054265557	0.241737669031	0.258996034235	0.356337586564	0.708433277338	0.262707800957	0.35318110042	0.148706895965	0.296129494445	0.331721606936	0.281063358939	0.233146888523	0.380384863112	0.175169069693	0.401623548456	0.329287759821	0.343907495083	0.385150768168	0.168616089522	0.206082526383	0.171308932539	0.178985509542	0.249696918824	0.25898458509	0.232768434958	0.446059660837	0.225848958383	0.315585227792	0.217465254904	0.379715920792	0.320859783757	0.319399799054	0.209880335442	0.284145025251	0.344807753442	0.539123254479	0.518247537977	0.187860313646	0.25802305938	0.259992116847	0.255308632715	0.195360394982	0.246834811546	0.401322374143	0.175644201797	0.314365083728	0.288714057851	0.383564320493	0.252367412684	0.167385751954	0.220792839828	0.21892074584	0.186393691457	0.313879660305	0.277538599224	0.28393916216	0.50440964091	0.14881398065	0.205074673861	0.240362356068	0.317540994081	0.525159590665	0.125691168465	0.301615726968	0.209329089363	0.231387845	0.390324828822	0.385515966722	0.200857977247	0.24848210143	0.20789333103	0.214484313692	0.320664137338	0.273328893732	0.244844602316	0.426476502894	0.290471461911	0.171026216239	0.221780309393	0.286450551805	0.334983280638	0.384289613363	0.489917936845	0.414798712455	0.425239134017	0.613802511297	0.434043133061	0.310623690089	0.623059912817	0.402060280155	0.382847000484
C0039	0.456691775008	0.381113951706	0.529443102847	0.366054265557	0.0	0.342140054858	0.460943506566	0.319110197064	0.761691784005	0.415809433266	0.532889120191	0.41215455526	0.348456199758	0.365653865786	0.478617321232	0.407472962619	0.517566675323	0.441987382087	0.278842332663	0.556028940479	0.375095404581	0.341790866649	0.410770913661	0.38673988042	0.420736747836	0.290642793949	0.393251084179	0.437760214425	0.40096474722	0.610934247981	0.493868753688	0.509344299528	0.416359523053	0.606212496696	0.275667623667	0.381680317303	0.436234089235	0.501516496726	0.555622447275	0.704345876618	0.680940901865	0.440445531188	0.408445654079	0.482199111213	0.481415158307	0.366774928396	0.452069053228	0.561185003151	0.391361819013	0.584090349851	0.502955497972	0.566057985352	0.412201604869	0.391477509155	0.459028999965	0.477945269163	0.405016726511	0.465814548238	0.450014727633	0.42627433714	0.662600848563	0.363226073389	0.329424915316	0.433916369167	0.528515356141	0.672590624107	0.400428013297	0.460946476348	0.446649979177	0.511120095137	0.562879439481	0.622742431837	0.477842917729	0.496241599317	0.47438269925	0.48132489301	0.586838435309	0.544782661482	0.439366441222	0.301928621588	0.480331925075	0.367326357398	0.437137932558	0.497814498042	0.597592221264	0.547297633847	0.679535766394	0.342541951004	0.585442750571	0.754192770963	0.585739579182	0.491916730498	0.466882261048	0.203206787217	0.480753142192
C0023	0.2399086073	0.425836071467	0.311806133972	0.241737669031	0.342140054858	0.0	0.254398394402	0.440408927326	0.707231480541	0.161640724653	0.311519495765	0.285792817136	0.361401872575	0.244063659777	0.237130897922	0.174851669406	0.29577843076	0.199127581288	0.362923564377	0.321724212064	0.486632439451	0.453675362213	0.256577916859	0.231876305688	0.279091080205	0.207490621256	0.388788945828	0.251283188117	0.191912378718	0.364337501611	0.37102057951	0.268822358749	0.182839313621	0.381520294971	0.347233796043	0.207308114588	0.372482433714	0.260615110659	0.317707481246	0.495997465371	0.432536332942	0.225248995859	0.201715434255	0.405014572076	0.263903159602	0.322085504903	0.215710111573	0.366176308825	0.216818695856	0.378465524131	0.414013870437	0.34503993898	0.249621891507	0.302611404428	0.226600937222	0.27433403464	0.235825626888	0.216973533919	0.270407753232	0.210633854538	0.461042162794	0.240337347929	0.211825189597	0.18973069352	0.280787111288	0.480077121533	0.255415164048	0.219797062853	0.342199276445	0.290088754576	0.347708708843	0.405294351426	0.225637290743	0.291784427127	0.224159118915	0.328343520123	0.350377686003	0.309548503182	0.225251464156	0.402064783456	0.262264488408	0.226539736623	0.197890317827	0.247872163467	0.37594106649	0.304402667967	0.471869336396	0.440789329609	0.32442210539	0.548537450078	0.369849165347	0.242127934835	0.593338262171	0.3866344293	0.253648594069
C0010	0.257475163468	0.399633013131	0.198769853484	0.258996034235	0.460943506566	0.254398394402	0.0	0.481570390912	0.777435301685	0.291327840524	0.262300140343	0.284459391845	0.391959159003	0.387714800241	0.267368243991	0.233226133645	0.366189054277	0.214303645208	0.498923132741	0.336865665302	0.482331492744	0.467810912764	0.240381105736	0.20292504375	0.285752092393	0.295355184732	0.340579782042	0.169036345514	0.230851107862	0.440410431131	0.284573307118	0.325290572537	0.198894274095	0.228657830338	0.36649220175	0.327883106693	0.339317359524	0.281844134283	0.340095152305	0.398408728935	0.496102770937	0.225041054702	0.247729194089	0.238918658763	0.213236737547	0.348498154803	0.235430818138	0.252633570783	0.238084181596	0.397633472436	0.264656095523	0.353825733204	0.277229142523	0.282640496518	0.236128209558	0.230239336027	0.282906563713	0.32072269789	0.349068737972	0.258558786331	0.345604380631	0.28940687098	0.292976284621	0.240404794004	0.299000842639	0.36288615172	0.280505395247	0.298054507469	0.370269684759	0.262287972313	0.288900630771	0.252787612036	0.249038799107	0.125178480145	0.241805663176	0.367127769465	0.336736381138	0.236310310988	0.252593030297	0.527929249302	0.282755184201	0.293064008562	0.206974053479	0.291375240551	0.200344402812	0.368684827029	0.33753795173	0.516850451332	0.43153682473	0.452695726968	0.259402551838	0.290931538088	0.74138253575	0.545772330551	0.380415133946
C0064	0.484976110255	0.370198165425	0.544939732292	0.356337586564	0.319110197064	0.440408927326	0.481570390912	0.0	0.838923856511	0.461247178018	0.604930402907	0.441525789799	0.401913155156	0.509363342578	0.489715823364	0.463208557134	0.595786020884	0.466780329154	0.36751128149	0.591561827563	0.394355048904	0.383893199145	0.415595648452	0.388565787083	0.455815186467	0.37520860837	0.416427229896	0.462815419254	0.433943657422	0.659221817238	0.493436751022	0.548356020977	0.471170634746	0.621073615409	0.329958286391	0.49087700192	0.434674978645	0.523840933713	0.601985168955	0.768558201957	0.702351927836	0.452111397795	0.469692674028	0.485530454123	0.499270351392	0.402995856047	0.490735399304	0.636473155862	0.45746467331	0.598871520449	0.50391758122	0.62521100621	0.459016634883	0.397587159219	0.463792923462	0.506874324874	0.4502478755	0.521702217757	0.503335776801	0.465483539786	0.709013957156	0.424295883268	0.432516192994	0.486453767695	0.536623355807	0.71425550992	0.391250025453	0.535809265047	0.4464197215	0.49509975538	0.582400192177	0.646593293984	0.501887618687	0.513796515298	0.487760637708	0.503901938164	0.610213409832	0.569632015807	0.465154760215	0.295667186979	0.539761170393	0.438665311243	0.456152878144	0.553074083972	0.591021473388	0.591282021363	0.712559033153	0.41833067879	0.611443467359	0.804420020962	0.633993300806	0.511535952152	0.433587404702	0.35106537906	0.572867124843
C0055	0.727423798841	0.733631820212	0.780391194336	0.708433277338	0.761691784005	0.707231480541	0.777435301685	0.838923856511	0.0	0.720942017849	0.810863736112	0.73750205837	0.747546407953	0.781020442958	0.763954170417	0.725636068258	0.795116917761	0.725395519111	0.806080987188	0.830162891393	0.850299371113	0.827654521291	0.694377579076	0.705330133346	0.750800390729	0.69241021211	0.672651779278	0.756010803875	0.729393727606	0.852154502153	0.746597672943	0.776336649833	0.696129120727	0.858960017987	0.730834595951	0.754782404976	0.707498698102	0.680008289299	0.806356197438	0.978529270108	0.922903316491	0.687814534049	0.720584966775	0.793030863325	0.779204641433	0.736690296635	0.724191764393	0.788796692361	0.747527247887	0.829039921854	0.805678107135	0.81664532992	0.668417483387	0.71932530328	0.728881333794	0.657104363936	0.722051273723	0.768333674446	0.731283329435	0.73859032251	0.90709243909	0.750039178672	0.678591787252	0.715894945511	0.776017715029	0.946586946999	0.735156270799	0.746478189357	0.748489068098	0.758408550894	0.832280140455	0.827813230025	0.734944821115	0.769118481208	0.752848891074	0.803073965273	0.832405221415	0.810122106214	0.709213211157	0.805832743849	0.742550712349	0.743120228695	0.747192498006	0.748226882675	0.858108554737	0.81365481021	0.923078873531	0.8255033608	0.826162728723	1.02171296369	0.858263749099	0.793938988252	0.968639840519	0.799681800542	0.805474364584
C0001	0.237130662652	0.419764662824	0.305026541833	0.262707800957	0.415809433266	0.161640724653	0.291327840524	0.461247178018	0.720942017849	0.0	0.311194649548	0.321635560884	0.422668264953	0.277824053814	0.224636542172	0.215367030616	0.293907543103	0.218418358759	0.468058198254	0.295675128141	0.519406425358	0.509755207785	0.279832986619	0.277791957485	0.345355800053	0.283442230725	0.419189033135	0.246352962085	0.196312606212	0.30387369794	0.396823424424	0.254317908985	0.226645479088	0.354550219014	0.385967503193	0.20964939158	0.378145768262	0.254774724861	0.292248378209	0.475034557493	0.374061462494	0.258261776096	0.204158724551	0.405376792378	0.238768633356	0.368713731045	0.226397324331	0.352177176192	0.297522422537	0.400704111641	0.414543966674	0.312471867604	0.269063995674	0.319203774856	0.211287180747	0.297099568227	0.305075766888	0.229143448849	0.313086463462	0.182090000532	0.438215514381	0.332287444675	0.276867389058	0.214265545088	0.256508398001	0.453101851564	0.285474001801	0.220767550212	0.394532608862	0.308408544714	0.339315129912	0.399132658847	0.264869736693	0.310627474762	0.237622849496	0.368866657451	0.337240143119	0.313354642157	0.243066177781	0.458524637709	0.261094649003	0.303323263809	0.2321624858	0.24937014047	0.387407298443	0.269159544294	0.447788172978	0.496743333264	0.28836151425	0.51210852194	0.342862468135	0.228459330063	0.622683900588	0.402071322679	0.256442416131
